WKT,name,description
"POINT (-58.3811283 -34.6078541)",Sentido Norte,1. Av. 9 de Julio - B. Mitre
Tipo: A
"POINT (-58.3811704 -34.619009)",Sentido Sur,3. Av. 9 de JUlio - C.Calvo
Tipo: A

"POINT (-58.3818869 -34.5925123)",Sentido Norte,2. Av. 9 de Julio - Juncal
Tipo: A

"POINT (-58.3822198 -34.5984534)",Sentido Sur,1. Av. 9 de Julo 842
Tipo A
"POINT (-58.3820756 -34.6042917)",Sentido Sur,2. Av. 9 de Julio - Av. Corrientes
Tipo: C
"POLYGON ((-58.3807813 -34.6040012, -58.3699021 -34.6032506, -58.3705889 -34.5979696, -58.3732442 -34.5935362, -58.3708356 -34.5907278, -58.3732547 -34.5892616, -58.3759449 -34.5927503, -58.3743126 -34.59365, -58.3735815 -34.5949737, -58.3716487 -34.5983728, -58.3708315 -34.6025136, -58.3800519 -34.6029157, -58.3807171 -34.5986589, -58.3937416 -34.5992413, -58.3935486 -34.6001244, -58.3863711 -34.5998685, -58.3858078 -34.6029726, -58.3827124 -34.6028621, -58.382133 -34.6076131, -58.3804701 -34.6075556, -58.3807813 -34.6040012))",Sentido Norte,Área del cruce 1
"POLYGON ((-58.3824063 -34.5924575, -58.3808398 -34.5924133, -58.3808827 -34.5897901, -58.3795738 -34.5902274, -58.3788442 -34.5892072, -58.3803248 -34.5881605, -58.3791768 -34.5848703, -58.3804724 -34.5827504, -58.3890761 -34.5779186, -58.4072918 -34.5669022, -58.4079524 -34.5678122, -58.3958167 -34.5745311, -58.384194 -34.5815314, -58.3808586 -34.583404, -58.380239 -34.584517, -58.3821274 -34.5875731, -58.3976968 -34.5804987, -58.4011971 -34.5785178, -58.4046329 -34.5760068, -58.4109031 -34.5715146, -58.4118463 -34.572256, -58.3983562 -34.5809224, -58.3824171 -34.5888097, -58.3824063 -34.5924575))",Sentido Norte,Área del cruce 2
"POLYGON ((-58.3923017 -34.5990709, -58.3918941 -34.6034334, -58.3806073 -34.6029743, -58.3803498 -34.6053056, -58.3800494 -34.6101094, -58.3693635 -34.6099682, -58.3697283 -34.6060827, -58.3761012 -34.606224, -58.3765304 -34.5985233, -58.3923017 -34.5990709))",Sentido Sur,Área del cruce 1
"POLYGON ((-58.3876454 -34.6053728, -58.3930314 -34.6055671, -58.3925807 -34.6118014, -58.3804089 -34.6109056, -58.3801675 -34.6138064, -58.3688699 -34.61302, -58.3696639 -34.6050903, -58.3822809 -34.6058412, -58.3824526 -34.6051259, -58.3876454 -34.6053728))",Sentido Sur,Área del cruce 2
"POLYGON ((-58.3841064 -34.6236439, -58.3825895 -34.6289081, -58.3724681 -34.6558144, -58.370841 -34.6549672, -58.3777533 -34.628065, -58.3769218 -34.6240127, -58.3664645 -34.6230463, -58.3578024 -34.6283542, -58.3546603 -34.6316232, -58.3594147 -34.6339741, -58.3563063 -34.6388171, -58.3526425 -34.635789, -58.3520101 -34.6310838, -58.365324 -34.6209751, -58.3793144 -34.6219863, -58.3795505 -34.6193068, -58.3819108 -34.6193505, -58.3841424 -34.6225644, -58.3904544 -34.6230159, -58.3901343 -34.6241245, -58.3841064 -34.6236439))",Sentido Sur,Área del cruce 3
